,Game,Week,Road Closing Spread,Home Closing Spread
2158,STL 7 @ CIN 31,12,10.5,-10.5
2159,TB 12 @ IND 25,12,3,-3
2160,ARI 19 @ SF 13,12,-7.5,7.5
2161,PIT 30 @ SEA 39,12,3,-3
2162,NE 24 @ DEN 30,12,-2.5,2.5
2163,BAL 33 @ CLE 27,12,6,-6
2164,KC 20 @ OAK 24,12,-7.5,7.5
2165,CLE 26 @ ATL 24,12,3,-3
2166,TEN 24 @ PHI 43,12,11,-11
2167,DET 9 @ NE 34,12,7.5,-7.5
2168,GB 24 @ MIN 21,12,-7.5,7.5
2169,JAC 3 @ IND 23,12,13,-13
2170,CIN 22 @ HOU 13,12,3,-3
2171,TB 13 @ CHI 21,12,4,-4
2172,ARI 3 @ SEA 19,12,7.5,-7.5
2173,STL 24 @ SD 27,12,4,-4
2174,MIA 36 @ DEN 39,12,6.5,-6.5
2175,WAS 13 @ SF 17,12,9,-9
2176,DAL 31 @ NYG 28,12,-4,4
2177,NYJ 3 @ BUF 38,12,2.5,-2.5
2178,BAL 34 @ NO 27,12,2.5,-2.5
2179,NO 17 @ ATL 13,12,-7.5,7.5
2180,PIT 27 @ CLE 11,12,2.5,-2.5
2181,TB 24 @ DET 21,12,7,-7
2182,MIN 26 @ GB 26,12,6,-6
2183,JAC 13 @ HOU 6,12,10.5,-10.5
2184,NYJ 3 @ BAL 19,12,4,-4
2185,SD 41 @ KC 38,12,3.5,-3.5
2186,CHI 21 @ STL 42,12,1,-1
2187,CAR 20 @ MIA 16,12,-4.5,4.5
2188,IND 11 @ ARI 40,12,3.5,-3.5
2189,TEN 23 @ OAK 19,12,-2.5,2.5
2190,DAL 24 @ NYG 21,12,1,-1
2191,DEN 31 @ NE 34,12,1,-1
2192,SF 6 @ WAS 27,12,-5.5,5.5
2193,HOU 34 @ DET 31,12,-3.5,3.5
2194,WAS 38 @ DAL 31,12,3.5,-3.5
2195,NE 49 @ NYJ 19,12,-7,7
2196,BUF 13 @ IND 20,12,2,-2
2197,PIT 14 @ CLE 20,12,-1,1
2198,OAK 10 @ CIN 34,12,9.5,-9.5
2199,MIN 10 @ CHI 28,12,6.5,-6.5
2200,TEN 19 @ JAC 24,12,-3.5,3.5
2201,ATL 24 @ TB 23,12,-1,1
2202,SEA 21 @ MIA 24,12,-3,3
2203,DEN 17 @ KC 9,12,-10,10
2204,BAL 16 @ SD 13,12,-1,1
2205,SF 31 @ NO 21,12,-1,1
2206,STL 31 @ ARI 17,12,1,-1
2207,GB 10 @ NYG 38,12,1.5,-1.5
2208,CAR 30 @ PHI 22,12,-3,3
2209,GB 27 @ DET 15,12,-5,5
2210,MIA 19 @ DAL 20,12,7,-7
2211,SF 6 @ BAL 16,12,3.5,-3.5
2212,BUF 24 @ NYJ 28,12,9,-9
2213,CLE 20 @ CIN 23,12,7,-7
2214,HOU 20 @ JAC 13,12,-7,7
2215,CAR 27 @ IND 19,12,-4,4
2216,TB 17 @ TEN 23,12,3,-3
2217,CHI 20 @ OAK 25,12,3,-3
2218,WAS 23 @ SEA 17,12,3,-3
2219,DEN 16 @ SD 13,12,4.5,-4.5
2220,NE 38 @ PHI 20,12,-3,3
2221,ARI 23 @ STL 20,12,3,-3
2222,MIN 14 @ ATL 24,12,10,-10
2223,PIT 13 @ KC 9,12,-10.5,10.5
2224,NYG 24 @ NO 49,12,7,-7
2225,NE 45 @ DET 24,12,-6,6
2226,NO 30 @ DAL 27,12,-5,5
2227,CIN 10 @ NYJ 26,12,10,-10
2228,MIN 17 @ WAS 13,12,-3,3
2229,PIT 19 @ BUF 16,12,-7,7
2230,TEN 0 @ HOU 20,12,5,-5
2231,JAC 20 @ NYG 24,12,8,-8
2232,CAR 23 @ CLE 24,12,8,-8
2233,GB 17 @ ATL 20,12,3,-3
2234,MIA 33 @ OAK 17,12,3,-3
2235,KC 42 @ SEA 24,12,-2,2
2236,TB 10 @ BAL 17,12,8,-8
2237,PHI 26 @ CHI 31,12,-3,3
2238,STL 36 @ DEN 33,12,3,-3
2239,SD 36 @ IND 14,12,2,-2
2240,SF 27 @ ARI 6,12,-2,2
2241,GB 34 @ DET 12,12,-11,11
2242,OAK 7 @ DAL 24,12,14,-14
2243,NYG 6 @ DEN 26,12,-5,5
2244,IND 35 @ HOU 27,12,-3,3
2245,CLE 7 @ CIN 16,12,12,-12
2246,WAS 24 @ PHI 27,12,10,-10
2247,MIA 14 @ BUF 31,12,-4,4
2248,SEA 27 @ STL 17,12,-3,3
2249,TB 17 @ ATL 20,12,13,-13
2250,CAR 6 @ NYJ 17,12,3,-3
2251,JAC 3 @ SF 20,12,3,-3
2252,KC 14 @ SD 43,12,13,-13
2253,CHI 10 @ MIN 36,12,10,-10
2254,ARI 17 @ TEN 20,12,3,-3
2255,PIT 17 @ BAL 20,12,8,-8
2256,NE 17 @ NO 38,12,2,-2
2257,CIN 10 @ PIT 27,12,12,-12
2258,HOU 16 @ CLE 6,12,3,-3
2259,BUF 54 @ KC 31,12,-3,3
2260,NYJ 34 @ TEN 13,12,6,-6
2261,NE 48 @ MIA 28,12,-2,2
2262,SF 22 @ DAL 35,12,10,-10
2263,TB 38 @ DET 20,12,-8,8
2264,PHI 7 @ BAL 36,12,2,-2
2265,CHI 27 @ STL 3,12,-7,7
2266,MIN 30 @ JAC 12,12,2,-2
2267,OAK 31 @ DEN 10,12,9,-9
2268,CAR 28 @ ATL 45,12,-1,1
2269,WAS 20 @ SEA 17,12,-3,3
2270,NYG 37 @ ARI 29,12,-3,3
2271,IND 23 @ SD 20,12,3,-3
2272,GB 29 @ NO 51,12,0,0
2273,GB 37 @ DET 26,12,-3,3
2274,NYJ 3 @ DAL 34,12,14,-14
2275,IND 31 @ ATL 13,12,-13,13
2276,TEN 6 @ CIN 35,12,0,0
2277,BUF 14 @ JAC 36,12,9,-9
2278,OAK 20 @ KC 17,12,4,-4
2279,HOU 17 @ CLE 27,12,3,-3
2280,SEA 24 @ STL 19,12,-3,3
2281,MIN 41 @ NYG 17,12,7,-7
2282,NO 31 @ CAR 6,12,-3,3
2283,WAS 13 @ TB 19,12,3,-3
2284,SF 37 @ ARI 31,12,10,-10
2285,DEN 34 @ CHI 37,12,1,-1
2286,BAL 14 @ SD 32,12,10,-10
2287,PHI 28 @ NE 31,12,24,-24
2288,MIA 0 @ PIT 3,12,15,-15
2289,CHI 24 @ DET 20,13,-5.5,5.5
2290,BUF 26 @ DAL 15,13,-7.5,7.5
2291,NO 26 @ ATL 18,13,6.5,-6.5
2292,GB 31 @ NYG 13,13,-6.5,6.5
